Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
i,i,1,0,150428
och,och,2,1,129303
att,att,3,2,119742
på,på,5,3,86155
en,en,0,4,79756
som,som,7,5,79198
den,det,6,6,72475
vara,är,4,7,71108
för,för,9,8,65777
ha,har,8,9,55638
av,av,10,10,54864
med,med,11,11,53336
till,till,12,12,52084
en,ett,0,13,36488
en,den,0,14,35662
om,om,14,15,34741
inte,inte,15,16,32703
men,men,19,17,24841
han,han,17,18,21426
från,från,24,19,21044
vi,vi,16,20,20573
en,de,0,21,20402
vara,var,4,22,19900
sig,sig,13,23,17732
jag,jag,20,24,17511
nu,nu,30,25,17111
kunna,kan,21,26,16629
under,under,31,27,16542
man,man,23,28,16137
så,så,32,29,15812
skola,ska,18,30,15650
efter,efter,33,31,15604
en,det,0,32,15482
de,de,25,33,14904
när,när,36,34,14492
säga,säger,28,35,14064
mot,mot,40,36,13214
år,år,27,37,12477
hon,hon,39,38,11485
komma,kommer,29,39,11476
där,där,47,40,9830
sig,sin,13,41,9646
ut,ut,48,42,9231
sedan,sedan,49,43,9211
in,in,51,44,9113
över,över,52,45,9101
ha,ha,8,46,8857
vid,vid,54,47,8782
också,också,55,48,8614
här,här,58,49,8556
vara,vara,4,50,8342
två,två,50,51,8247
eller,eller,59,52,8196
även,även,60,53,8176
upp,upp,61,54,8068
enligt,enligt,62,55,7925
då,då,63,56,7832
hur,hur,64,57,7727
ha,hade,8,58,7555
all,alla,45,59,7395
finnas,finns,53,60,7276
vilja,vill,57,61,6974
bli,blev,26,62,6811
få,får,22,63,6809
skola,skulle,18,64,6801
annan,andra,37,65,6768
än,än,71,66,6738
procent,procent,70,67,6666
ny,nya,43,68,6577
den,den,6,69,6557
få,få,22,70,6530
mycket,mer,35,71,6471
vad,vad,72,72,6403
bli,blir,26,73,6098
en,första,0,74,6066
flera,flera,75,75,5935
bara,bara,77,76,5870
många,många,78,77,5724
mycket,mycket,35,78,5720
få,fick,22,79,5637
vara,varit,4,80,5501
tidig,tidigare,73,81,5352
bland,bland,81,82,5347
krona,kronor,80,83,5220
ta,ta,38,84,5146
du,du,67,85,5104
sig,sina,13,86,5060
annan,annat,37,87,4893
någon,något,42,88,4865
bli,bli,26,89,4697
sig,sitt,13,90,4644
tre,tre,76,91,4641
gå,går,44,92,4617
göra,göra,34,93,4375
mellan,mellan,96,94,4330
svensk,svenska,68,95,4287
göra,gör,34,96,4249
s,s,95,97,4245
stor,stora,41,98,4160
hel,hela,91,99,4150
denna,detta,65,100,4115
måste,måste,104,101,4076
bra,bra,56,102,4000
utan,utan,106,103,3997
skriva,skriver,86,104,3949
fram,fram,108,105,3868
någon,några,42,106,3763
både,både,111,107,3712
se,se,46,108,3702
se,ser,46,109,3651
någon,någon,42,110,3628
få,fått,22,111,3590
redan,redan,114,112,3568
genom,genom,115,113,3562
polis,polisen,102,114,3541
ny,ny,43,115,3540
inom,inom,118,116,3488
del,del,83,117,3471
komma,kom,29,118,3417
person,personer,84,119,3416
ryssland,ryssland,93,120,3411
dag,dag,66,121,3404
de,dem,25,122,3395
inför,inför,122,123,3336
tid,tid,79,124,3303
han,hans,17,125,3219
samtidig,samtidigt,126,126,3203
vi,oss,16,127,3191
kunna,kunna,21,128,3190
vilken,vilket,87,129,3185
sen,senaste,69,130,3173
ta,tog,38,131,3059
rysk,ryska,109,132,3042
miljon,miljoner,124,133,2987
barn,barn,103,134,2968
innan,innan,134,135,2905
stor,stor,41,136,2903
gå,gå,44,137,2900
plats,plats,97,138,2876
samma,samma,139,139,2842
stå,står,89,140,2799
fler,fler,142,141,2782
helt,helt,144,142,2754
jag,mig,20,143,2749
all,allt,45,144,2735
tillbaka,tillbaka,145,145,2731
olik,olika,146,146,2729
ingen,ingen,82,147,2709
lite,lite,85,148,2682
fyra,fyra,125,149,2680
ta,tar,38,150,2635
behöva,behöver,100,151,2576
gå,gick,44,152,2570
just,just,160,153,2523
dock,dock,161,154,2504
man,en,23,155,2455
mål,mål,120,156,2452
göra,gjorde,34,157,2441
förra,förra,165,158,2416
göra,gjort,34,159,2382
trots,trots,168,160,2369
kunna,kunde,21,161,2367
land,landet,74,162,2328
bli,blivit,26,163,2288
klar,klart,116,164,2288
han,honom,17,165,2278
tro,tror,131,166,2233
tillsammans,tillsammans,182,167,2229
sätt,sätt,163,168,2224
själv,själv,121,169,2199
människa,människor,137,170,2198
ligga,ligger,127,171,2188
år,året,27,172,2181
komma,komma,29,173,2163
igen,igen,187,174,2145
mycket,mest,35,175,2137
vi,vår,16,176,2136
sen,senare,69,177,2135
hus,huset,136,178,2121
väldig,väldigt,186,179,2119
ännu,ännu,189,180,2118
visa,visar,99,181,2105
gälla,gäller,138,182,2092
fem,fem,167,183,2080
nästa,nästa,190,184,2077
kvar,kvar,188,185,2069
därför,därför,193,186,2052
kanske,kanske,196,187,2017
runt,runt,197,188,2015
kommun,kommun,94,189,2003
regering,regeringen,128,190,2000
bra,bättre,56,191,1955
fall,fall,153,192,1955
grund,grund,169,193,1952
ner,ner,204,194,1939
ju,ju,205,195,1920
rätt,rätt,174,196,1919
stor,större,41,197,1916
stor,stort,41,198,1913
sista,sista,206,199,1913
de,deras,25,200,1891
ta,tagit,38,201,1887
match,matchen,101,202,1885
stor,största,41,203,1875
allt,allt,212,204,1861
hon,hennes,39,205,1857
per,per,211,206,1855
varje,varje,215,207,1853
vecka,veckan,98,208,1842
fortfarande,fortfarande,218,209,1835
gång,gång,92,210,1834
samt,samt,219,211,1833
bra,bästa,56,212,1832
aldrig,aldrig,221,213,1826
hos,hos,223,214,1817
ytterlig,ytterligare,222,215,1817
man,mannen,23,216,1805
ny,nytt,43,217,1795
ukraina,ukraina,184,218,1790
utanför,utanför,226,219,1788
eftersom,eftersom,227,220,1787
veta,vet,173,221,1787
tycka,tycker,183,222,1783
dessutom,dessutom,228,223,1783
ha,haft,8,224,1768
vi,våra,16,225,1754
handla,handlar,156,226,1751
annan,annan,37,227,1713
tid,tiden,79,228,1696
ge,ger,90,229,1687
berätta,berättar,158,230,1685
ur,ur,235,231,1683
länge,länge,130,232,1677
gång,gången,92,233,1667
bakom,bakom,241,234,1666
hem,hem,214,235,1666
ukrau,ukraina,242,236,1656
nästan,nästan,243,237,1649
gå,gått,44,238,1647
svår,svårt,150,239,1643
jag,min,20,240,1640
kring,kring,245,241,1633
bort,bort,246,242,1630
före,före,247,243,1627
krig,kriget,154,244,1612
år,årets,27,245,1599
ge,ge,90,246,1597
tio,tio,240,247,1592
innebära,innebär,209,248,1591
åt,åt,254,249,1584
fråga,frågan,105,250,1584
denna,dessa,65,251,1578
emot,emot,260,252,1575
mena,menar,231,253,1569
först,först,264,254,1567
denna,denna,65,255,1557
lite,minst,85,256,1555
beslut,beslut,166,257,1540
ändå,ändå,270,258,1538
svensk,svensk,68,259,1534
säsong,säsongen,143,260,1518
alltid,alltid,273,261,1517
värld,världen,151,262,1515
nära,nära,147,263,1503
företag,företag,149,264,1487
vidare,vidare,278,265,1480
fortsätta,fortsätter,113,266,1472
väl,väl,279,267,1471
president,president,191,268,1471
ingen,inget,82,269,1468
sex,sex,283,270,1457
liv,liv,172,271,1450
väg,väg,135,272,1440
lika,lika,292,273,1432
exempel,exempel,291,274,1419
land,länder,74,275,1413
säga,säga,28,276,1411
år,åren,27,277,1400
stöd,stöd,290,278,1394
varför,varför,300,279,1394
medan,medan,301,280,1392
ställe,stället,248,281,1374
mången,många,180,282,1367
båda,båda,307,283,1362
miljard,miljarder,282,284,1349
början,början,312,285,1348
vann,vann,314,286,1344
börja,började,117,287,1343
ägare,ägare,319,288,1338
dag,dagar,66,289,1324
spela,spela,107,290,1321
dryg,drygt,275,291,1318
pengar,pengar,236,292,1306
klocka,klockan,318,293,1304
tre,tredje,76,294,1291
eu,eu,328,295,1288
slut,slut,162,296,1287
pandemin,pandemin,329,297,1286
se,sett,46,298,1276
kvadratmet,kvadratmeter,332,299,1275
viss,vissa,198,300,1242
ofta,ofta,262,301,1241
hålla,håller,110,302,1234
del,delar,83,303,1230
hålla,hålla,110,304,1230
problem,problem,213,305,1228
kvinna,kvinnor,119,306,1223
den,dess,6,307,1213
snabb,snabbt,192,308,1210
kommun,kommunen,94,309,1209
hög,högre,88,310,1208
samband,samband,344,311,1207
långt,långt,356,312,1200
finland,finland,296,313,1198
hemma,hemma,358,314,1196
hjälp,hjälp,339,315,1194
cirka,cirka,359,316,1191
mars,mars,364,317,1186
fastighet,fastigheten,269,318,1186
framför,framför,357,319,1184
minut,minuter,230,320,1176
ingen,inga,82,321,1175
ordförande,ordförande,366,322,1175
ni,ni,252,323,1175
pris,priset,175,324,1175
länge,längre,130,325,1174
bolag,bolaget,157,326,1173
henne,henne,369,327,1169
lag,lag,123,328,1160
person,person,84,329,1156
böra,borde,179,330,1155
ukrainsk,ukrainska,313,331,1150
match,match,101,332,1148
vd,vd,379,333,1144
vecka,vecka,98,334,1144
gång,gånger,92,335,1143
