Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
και,και,2,0,190815
ο,το,0,1,130136
να,να,3,2,128479
ο,η,0,3,107947
ο,την,0,4,103558
ο,της,0,5,95810
με,με,5,6,95734
ο,του,0,7,89557
ο,ο,0,8,85263
για,για,6,9,83774
από,από,7,10,81164
που,που,8,11,78058
σε ο,στο,1,12,61706
σε,σε,10,13,60267
ο,τα,0,14,53456
είμαι,είναι,9,15,53012
σε ο,στην,1,16,51697
θα,θα,13,17,51413
ο,τον,0,18,50690
ο,οι,0,19,46478
ο,των,0,20,46406
ο,τη,0,21,42550
δεν,δεν,14,22,42081
ότι,ότι,15,23,38547
μου,του,4,24,37492
ο,τις,0,25,33825
σε ο,στη,1,26,26257
μου,της,4,27,22588
έχω,έχει,12,28,21035
ο,τους,0,29,20101
ένας,ένα,11,30,19746
σε ο,στα,1,31,18952
ένας,μια,11,32,18856
σε ο,στον,1,33,18136
σε ο,στις,1,34,17006
είμαι,ήταν,9,35,16871
μου,τους,4,36,15975
αλλά,αλλά,20,37,15152
αυτός,αυτό,16,38,14905
μου,μας,4,39,12260
όπως,όπως,23,40,12044
έχω,είχε,12,41,11888
έχω,έχουν,12,42,11810
πως,πως,28,43,11243
μετά,μετά,30,44,11042
ενώ,ενώ,31,45,10978
μου,μου,4,46,10544
δύο,δύο,35,47,10257
κατά,κατά,39,48,9642
πολύ,πολύ,27,49,9635
αν,αν,32,50,8876
σύμφωνα,σύμφωνα,42,51,8800
αυτός,αυτή,16,52,8521
ως,ως,45,53,8486
ή,ή,48,54,8013
όταν,όταν,49,55,7854
πιο,πιο,50,56,7779
σήμερα,σήμερα,51,57,7620
ένας,μία,11,58,7398
καθώς,καθώς,52,59,7300
σε ο,στους,1,60,7083
οποίος,οποία,18,61,7068
μπορώ,μπορεί,21,62,7052
πρέπει,πρέπει,47,63,7036
λέγω,είπε,34,64,6919
εγώ,το,17,65,6653
όμως,όμως,53,66,6596
χρόνος,χρόνια,38,67,6150
μέχρι,μέχρι,58,68,5922
επίσης,επίσης,61,69,5834
τι,τι,64,70,5670
κάθε,κάθε,66,71,5433
όλος,όλα,19,72,5313
ένας,ένας,11,73,5276
μέσα,μέσα,70,74,5238
μόνο,μόνο,68,75,5233
προς,προς,71,76,5233
κάνω,κάνει,22,77,5062
πριν,πριν,75,78,4998
ομάδα,ομάδα,43,79,4968
και,κι,2,80,4743
εγώ,μας,17,81,4581
όπου,όπου,78,82,4569
νέος,νέα,24,83,4518
πρώτος,πρώτη,37,84,4507
ακόμα,ακόμη,46,85,4379
οποίος,οποίο,18,86,4360
ένας,έναν,11,87,4349
γιατί,γιατί,84,88,4331
μεταξύ,μεταξύ,85,89,4316
αυτός,αυτά,16,90,4311
ωστόσο,ωστόσο,87,91,4280
χώρα,χώρα,40,92,4251
υπάρχω,υπάρχει,33,93,4212
χωρίς,χωρίς,88,94,4188
κάτι,κάτι,91,95,4117
δηλώνω,δήλωσε,69,96,4115
μαζί,μαζί,92,97,4115
εγώ,τους,17,98,4015
ζωή,ζωή,67,99,3997
έχω,έχουμε,12,100,3970
ακόμα,ακόμα,46,101,3953
μην,μην,62,102,3899
ευρώ,ευρώ,97,103,3863
έχω,είχαν,12,104,3777
κάνω,έκανε,22,105,3701
παιδί,παιδιά,72,106,3636
όχι,όχι,106,107,3595
εγώ,τον,17,108,3565
γίνομαι,γίνει,26,109,3548
στιγμή,στιγμή,74,110,3545
αναφέρω,ανέφερε,41,111,3492
όσο,όσο,83,112,3484
μάλιστα,μάλιστα,111,113,3483
σου,σου,112,114,3479
ίδιος,ίδια,44,115,3438
πάνω,πάνω,113,116,3429
βρίσκω,βρίσκεται,56,117,3422
φορά,φορά,65,118,3419
τόσο,τόσο,115,119,3413
τέλος,τέλος,95,120,3374
θέση,θέση,79,121,3345
ώς,έως,120,122,3344
ώρα,ώρα,60,123,3267
περιοχή,περιοχή,63,124,3254
μεγάλος,μεγάλη,29,125,3212
πλέον,πλέον,126,126,3203
τώρα,τώρα,127,127,3177
οποίος,οποίος,18,128,3176
πρόεδρος,πρόεδρος,77,129,3161
συνέχεια,συνέχεια,125,130,3161
χρονος,χρονος,90,131,3128
ήδη,ήδη,130,132,3110
έτσι,έτσι,131,133,3109
λόγω,λόγω,135,134,3083
γίνομαι,έγινε,26,135,3080
εδώ,εδώ,138,136,3068
εγώ,την,17,137,3057
ουκρανία,ουκρανία,148,138,2928
υπάρχω,υπάρχουν,33,139,2892
σπίτι,σπίτι,114,140,2836
περίπου,περίπου,155,141,2834
αρχή,αρχές,73,142,2832
αφού,αφού,156,143,2832
εκεί,εκεί,160,144,2809
τότε,τότε,163,145,2791
τελευταίος,τελευταία,59,146,2768
μέσω,μέσω,166,147,2751
διάρκεια,διάρκεια,146,148,2751
κυβέρνηση,κυβέρνηση,93,149,2708
πρώτος,πρώτο,37,150,2692
πρόκειται,πρόκειται,173,151,2671
αυτός,αυτές,16,152,2670
πολύς,πολλά,36,153,2627
μου,σας,4,154,2618
ένας,ενός,11,155,2585
τονίζω,τόνισε,108,156,2571
όλος,όλοι,19,157,2515
πάντα,πάντα,186,158,2514
κατάσταση,κατάσταση,132,159,2508
σχέση,σχέση,103,160,2493
έτος,ετών,94,161,2492
ώρα,ώρες,60,162,2488
πληροφορία,πληροφορίες,153,163,2474
αποτέλεσμα,αποτέλεσμα,121,164,2458
είμαι,είμαι,9,165,2452
κόσμος,κόσμο,117,166,2446
είμαι,είμαστε,9,167,2428
αφορώ,αφορά,123,168,2416
εκτός,εκτός,197,169,2397
τρόπος,τρόπο,122,170,2392
χρόνος,χρόνο,38,171,2374
έχω,έχω,12,172,2348
ούτε,ούτε,206,173,2342
εγώ,του,17,174,2339
νέος,νέο,24,175,2325
παιχνίδι,παιχνίδι,213,176,2293
ποτέ,ποτέ,215,177,2289
άλλος,άλλη,25,178,2275
λίγο,λίγο,159,179,2264
σημείο,σημείο,152,180,2262
παράλληλα,παράλληλα,219,181,2258
στοιχείο,στοιχεία,154,182,2252
εν,εν,220,183,2242
μπορώ,μπορούν,21,184,2242
ώστε,ώστε,221,185,2241
χώρα,χώρας,40,186,2236
πολύς,πολλές,36,187,2212
τρεις,τρεις,86,188,2210
υπουργός,υπουργός,129,189,2210
μεγάλος,μεγάλο,29,190,2199
φαίνομαι,φαίνεται,209,191,2172
ΗΠΑ,ηπα,224,192,2170
αναμένω,αναμένεται,178,193,2167
