Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
de,de,1,0,325866
le,la,0,1,185104
le,le,0,2,151841
à,à,4,3,123537
le,les,0,4,116486
et,et,6,5,112476
en,en,7,6,90312
avoir,a,3,7,78817
un,un,2,8,76239
de,du,1,9,69202
un,une,2,10,65681
pour,pour,10,11,60898
de,des,1,12,56564
dans,dans,11,13,52944
que,que,12,14,49504
qui,qui,13,15,45681
être,est,5,16,45353
au,au,14,17,41335
un,des,2,18,38748
sur,sur,15,19,38075
ce,ce,8,20,33921
par,par,17,21,33350
pas,pas,18,22,33266
il,il,16,23,31165
plus,plus,19,24,29594
avec,avec,20,25,26174
son,son,9,26,25127
avoir,ont,3,27,23968
se,se,21,28,23948
ne,ne,24,29,21935
être,été,5,30,21307
être,sont,5,31,19257
mais,mais,26,32,18201
ce,cette,8,33,17724
on,on,27,34,17151
nous,nous,28,35,16275
son,sa,9,36,15034
à,aux,4,37,14897
je,je,30,38,13207
son,ses,9,39,12649
deux,deux,31,40,12084
ou,ou,33,41,11740
tout,tout,23,42,11468
comme,comme,35,43,11412
son,leur,9,44,10755
après,après,37,45,10499
être,être,5,46,10198
ce,ces,8,47,10022
faire,fait,22,48,9886
avoir,avait,3,49,9763
lui,elle,29,50,9757
depuis,depuis,43,51,9701
an,ans,34,52,9620
vous,vous,44,53,9525
même,même,41,54,9406
aussi,aussi,45,55,9370
faire,faire,22,56,9010
si,si,46,57,8873
bien,bien,48,58,8119
avoir,avoir,3,59,7455
être,était,5,60,7425
entrer,entre,47,61,7399
très,très,54,62,7122
luire,lui,53,63,7116
selon,selon,55,64,6932
pays,pays,56,65,6930
encore,encore,58,66,6571
sans,sans,60,67,6496
contre,contre,63,68,6380
il,ils,16,69,6347
y,y,64,70,6302
autre,autres,38,71,6225
avant,avant,66,72,5958
tout,tous,23,73,5882
où,où,68,74,5738
alors,alors,69,75,5681
également,également,70,76,5595
lors,lors,73,77,5481
premier,premier,32,78,5437
monde,monde,74,79,5244
plusieurs,plusieurs,75,80,5243
pouvoir,peut,25,81,5202
être,sera,5,82,5174
dont,dont,79,83,5169
leur,leurs,82,84,5044
moins,moins,84,85,4948
ainsi,ainsi,85,86,4941
cela,ça,86,87,4903
président,président,71,88,4888
mois,mois,87,89,4881
déjà,déjà,88,90,4838
dernier,dernier,39,91,4813
trois,trois,90,92,4791
fois,fois,92,93,4726
notre,notre,49,94,4677
celer,cela,96,95,4671
premier,première,32,96,4660
peu,peu,95,97,4650
temps,temps,98,98,4633
année,année,50,99,4589
donc,donc,102,100,4544
personne,personnes,65,101,4535
toujours,toujours,103,102,4397
fin,fin,100,103,4383
aller,va,42,104,4365
place,place,93,105,4335
ministre,ministre,89,106,4270
autre,autre,38,107,4216
prix,prix,108,108,4030
dire,dit,52,109,3787
falloir,faut,77,110,3674
cas,cas,122,111,3654
sou,sous,123,112,3633
notamment,notamment,124,113,3609
gouvernement,gouvernement,118,114,3575
quelque,quelques,83,115,3574
quand,quand,129,116,3532
notre,nos,49,117,3483
nouveau,nouveau,40,118,3444
face,face,131,119,3427
année,années,50,120,3426
nouveau,nouvelle,40,121,3399
vie,vie,127,122,3387
ce,cet,8,123,3332
jour,jours,61,124,3288
état,état,120,125,3255
début,début,132,126,3193
grand,grand,51,127,3176
beaucoup,beaucoup,142,128,3172
partie,partie,144,129,3162
jour,jour,61,130,3148
ville,ville,117,131,3139
jeu,jeu,97,132,3105
vers,vers,145,133,3103
équipe,équipe,113,134,2999
me,me,150,135,2989
chez,chez,153,136,2964
