Morph-lemma,Morph-inflection
de,de
e,e
o,o
que,que
o,a
de o,do
de o,da
em,em
para,para
com,com
em o,no
em o,na
um,um
o,O
um,uma
o,os
a,a
ser,é
o,A
não,não
por,por
o,as
ser,foi
mais,mais
se,se
de o,dos
a o,ao
como,como
de o,das
a o,à
também,também
ser,ser
por o,pelo
por o,pela
mas,mas
ano,anos
estar,está
já,já
ou,ou
ter,tem
sobre,sobre
até,até
seu,sua
seu,seu
ainda,ainda
ser,são
o,Os
em,Em
ano,ano
dia,dia
ele,ele
muito,muito
ser,foram
em o,nos
pessoa,pessoas
em o,No
em o,nas
dizer,disse
entre,entre
ter,ter
a o,aos
poder,pode
isso,isso
a o,às
ir,vai
quando,quando
ser,será
em o,Na
estar,estão
dois,dois
após,após
o,As
haver,há
mesmo,mesmo
presidente,presidente
contra,contra
sem,sem
fazer,fazer
para,Para
acordo,acordo
todo,todos
ser,É
em este,nesta
segundo,segundo
tempo,tempo
com,Com
vez,vez
país,país
apenas,apenas
onde,onde
segundo,Segundo
seu,seus
e,E
dia,dias
ele,Ele
três,três
forma,forma
estar,estava
mil,mil
durante,durante
ser,era
não,Não
parte,parte
cidade,cidade
ser,sendo
governo,governo
caso,caso
grande,maior
primeiro,primeiro
trabalho,trabalho
final,final
outro,outros
de,De
hoje,hoje
momento,momento
você,você
todo,todo
porque,porque
desde,desde
só,só
bem,bem
casa,casa
milhão,milhões
esse,esse
mas,Mas
depois,depois
vida,vida
grande,grande
meio,meio
eu,eu
local,local
esse,essa
cada,cada
além,Além
ela,ela
dois,duas
semana,semana
por,Por
dever,deve
dizer,diz
afirmar,afirmou
seu,suas
quem,quem
h,h
ser,seja
poder,podem
um,Um
partir,partir
novo,novo
além,além
equipe,equipe
já,Já
ter,teve
mundo,mundo
agora,agora
empresa,empresa
sempre,sempre
região,região
de este,desta
jogo,jogo
em este,neste
primeiro,primeira
de este,deste
início,início
antes,antes
saúde,saúde
fim,fim
assim,assim
outro,outras
menos,menos
caso,casos
outro,outro
estado,Estado
processo,processo
por o,pelos
tudo,tudo
ser,sido
fazer,fez
mês,mês
público,público
gente,gente
domingo,domingo
projeto,projeto
ter,têm
informação,informações
quatro,quatro
de isso,disso
possível,possível
importante,importante
ter,tinha
número,número
mês,meses
este,este
sábado,sábado
relação,relação
valor,valor
ser,serão
ponto,pontos
população,população
novo,nova
grupo,grupo
área,área
eu,me
todo,todas
lado,lado
eu,Eu
período,período
se,Se
bom,melhor
algum,alguns
evento,evento
este,esta
homem,homem
cerca,cerca
dado,dados
último,última
conta,conta
mercado,mercado
segurança,segurança
dentro,dentro
situação,situação
criança,crianças
um,Uma
estado,estado
social,sociais
chegar,chegou
família,família
decisão,decisão
passado,passado
haver,havia
programa,programa
enquanto,enquanto
hora,horas
noite,noite
qualquer,qualquer
então,então
rede,redes
fazer,faz
pandemia,pandemia
empresa,empresas
apoio,apoio
estar,estar
aqui,aqui
história,história
cinco,cinco
vez,vezes
como,Como
ação,ação
frente,frente
entanto,entanto
ficar,ficou
município,município
fazer,feito
ação,ações
aumento,aumento
exemplo,exemplo
lugar,lugar
pouco,pouco
eles,eles
próximo,próximo
mulher,mulher
vítima,vítima
todo,toda
último,último
após,Após
crime,crime
dar,dar
meu,minha
ter,terá
resultado,resultado
ela,Ela
vir,vem
nosso,nossa
qual,qual
quase,quase
afirmar,afirma
isso,Isso
volta,volta
por o,pelas
contar,conta
ir,vão
campanha,campanha
pessoa,pessoa
serviço,serviços
nome,nome
nosso,nosso
manhã,manhã
total,total
sistema,sistema
último,últimos
novo,novos
algum,algumas
dever,devem
minuto,minutos
fora,fora
mulher,mulheres
time,time
a o,Ao
janeiro,janeiro
muito,muitos
uso,uso
segundo,segunda
longo,longo
outro,outra
ver,ver
quando,Quando
nem,nem
espaço,espaço
objetivo,objetivo
ele,o
ainda,Ainda
seis,seis
meu,meu
informar,informou
produção,produção
nós,nós
precisar,precisa
jogo,jogos
começar,começou
poder,poder
direito,direito
dezembro,dezembro
social,social
quanto,quanto
temporada,temporada
dinheiro,dinheiro
país,países
pois,pois
tarde,tarde
ser,seria
ministro,ministro
passar,passou
nada,nada
acesso,acesso
receber,recebeu
ficar,ficar
recurso,recursos
depois,Depois
ter,teria
através,através
acontecer,aconteceu
setor,setor
ter,temos
receber,receber
mãe,mãe
capital,capital
deputado,deputado
março,março
serviço,serviço
nacional,nacional
rede,rede
novo,novas
nós,nos
campo,campo
portal,portal
tipo,tipo
fase,fase
atual,atual
dar,deu
atividade,atividades
outubro,outubro
bairro,bairro
candidato,candidato
morte,morte
lei,lei
tão,tão
eleição,eleições
atendimento,atendimento
clube,clube
carro,carro
brasileiro,brasileiro
grande,grandes
estar,estavam
também,Também
tanto,tanto
nunca,nunca
ficar,fica
polícia,polícia
ponto,ponto
bom,bom
jovem,jovem
bilhão,bilhões
º,º
partida,partida
profissional,profissionais
próximo,próxima
maio,maio
mesmo,mesma
série,série
policial,policiais
governador,governador
energia,energia
haver,Há
ser,Foi
doença,doença
em um,num
site,site
devido,devido
junho,junho
risco,risco
água,água
a,A
base,base
fevereiro,fevereiro
prefeito,prefeito
principal,principais
ter,tenha
julho,julho
haver,houve
vários,vários
federal,federal
agosto,agosto
necessário,necessário
fato,fato
público,pública
querer,quer
muito,muita
chegar,chegar
setembro,setembro
em um,numa
corpo,corpo
guerra,guerra
produto,produtos
novembro,novembro
muito,muitas
bom,boa
edição,edição
contar,contou
de esse,dessa
algo,algo
lá,lá
preço,preços
fazer,feita
responsável,responsável
preciso,preciso
vitória,vitória
município,municípios
nota,nota
de ele,dele
veículo,veículo
área,áreas
várias,várias
prazo,prazo
esse,esses
principal,principal
abril,abril
de esse,desse
comentário,comentário
sob,sob
defesa,defesa
agora,Agora
maioria,maioria
questão,questão
família,famílias
explicar,explica
assim,Assim
realizar,realizada
causa,causa
problema,problemas
problema,problema
durante,Durante
realizar,realizado
realizar,realizar
vaga,vagas
estar,estamos
voto,votos
futebol,futebol
ª,ª
medida,medida
prisão,prisão
conseguir,conseguiu
hora,hora
participação,participação
principalmente,principalmente
falar,falar
crescimento,crescimento
pai,pai
apesar,Apesar
vídeo,vídeo
filho,filho
pesquisa,pesquisa
técnico,técnico
qualidade,qualidade
falta,falta
cidade,cidades
data,data
época,época
importância,importância
até,Até
passar,passar
junto,junto
próprio,próprio
especial,especial
condição,condições
entre,Entre
pagamento,pagamento
demais,demais
sete,sete
partido,partido
eleitoral,eleitoral
presença,presença
ele,ela
nível,nível
esse,essas
destacar,destacou
queda,queda
local,locais
