Morph-lemma,Morph-inflection
biti,je
v,v
in,in
na,na
se,se
biti,so
za,za
da,da
ki,ki
pa,pa
tudi,tudi
z,z
z,s
biti,bo
še,še
po,po
ne,ne
kot,kot
biti,bi
v,V
biti,ni
od,od
že,že
lahko,lahko
do,do
biti,bodo
pri,pri
iz,iz
o,o
tako,tako
ta,to
med,med
ta,tem
več,več
on,jih
ko,ko
ali,ali
zaradi,zaradi
on,ga
kar,kar
biti,bil
pred,pred
ob,ob
biti,bilo
na,Na
biti,smo
naj,naj
biti,bila
se,si
sicer,sicer
leto,leta
le,le
biti,sta
ves,vse
biti,sem
saj,saj
ter,ter
a,a
nekaj,nekaj
danes,danes
on,jo
po,Po
kjer,kjer
zelo,zelo
ta,tega
človek,ljudi
zdaj,zdaj
zato,zato
bolj,bolj
biti,niso
če,če
proti,proti
ta,To
biti,bili
ta,ta
vedno,vedno
evro,evrov
imeti,ima
ker,ker
kot,Kot
za,Za
brez,brez
kako,kako
če,Če
okužba,okužb
prav,prav
veliko,veliko
jaz,nas
on,mu
biti,bomo
namreč,namreč
ves,vseh
svoj,svoje
čas,času
k,k
glede,glede
kaj,kaj
drug,drugi
dejati,dejal
dan,dan
treba,treba
najbolj,najbolj
koronavirus,koronavirusa
prvi,prvi
iti,gre
leto,let
koronavirus,koronavirusom
predvsem,predvsem
tudi,Tudi
samo,samo
pod,pod
leto,leto
oziroma,oziroma
manj,manj
on,jim
dan,dni
skupaj,skupaj
delo,delo
stran,strani
jaz,mi
imeti,imajo
zadnji,zadnjih
nov,novega
jaz,nam
epidemija,epidemije
leto,letih
okoli,okoli
nato,nato
potrditi,potrdili
dva,dva
država,države
letos,letos
nov,novih
med,Med
odstotek,odstotkov
trije,tri
čas,čas
ta,te
nov,novim
svet,svetu
delo,dela
potem,potem
del,del
ko,Ko
praviti,pravi
število,število
drug,drugim
pri,Pri
ves,vsi
ta,teh
ukrep,ukrepov
drug,drugih
a,A
biti,biti
povedati,povedal
ob,Ob
in,In
dva,dve
skoraj,skoraj
z,Z
vlada,vlade
z,S
tako,Tako
naprej,naprej
vendar,vendar
nad,nad
vlada,vlada
imeti,imeli
ampak,ampak
čas,časa
država,državi
dva,dveh
drug,druge
pomeniti,pomeni
dobro,dobro
okužba,okužbe
predsednik,predsednik
mesto,mestu
lani,lani
morati,morali
vsaj,vsaj
svoj,svojo
zdravje,zdravje
teden,teden
celo,celo
znova,znova
ne,Ne
prej,prej
konec,konec
mesto,mesto
ta,Ta
mogoč,mogoče
dan,dneh
kateri,katerih
konec,koncu
milijon,milijonov
beseda,besedah
imeti,imel
zaradi,Zaradi
nov,novo
precej,precej
en,eno
doslej,doslej
biti,bile
kateri,kateri
človek,ljudje
res,res
vsak,vsak
torej,torej
trenutno,trenutno
od,Od
kateri,katerem
spet,spet
ker,Ker
on,ji
niti,niti
primer,primeru
pet,pet
dovolj,dovolj
nov,nove
leto,letu
sporočiti,sporočili
jaz,me
morati,mora
doma,doma
pomoč,pomoč
ta,temu
medtem,medtem
še,Še
bolezen,bolezni
ukrep,ukrepe
okužen,okuženih
kljub,kljub
teden,tedna
življenje,življenje
otrok,otrok
leto,leti
konec,konca
tam,tam
primer,primerov
on,njimi
zato,Zato
ta,tej
en,ena
takrat,takrat
minister,minister
slovenski,slovenski
bolnik,bolnikov
štirje,štiri
način,način
podjetje,podjetja
nov,novi
ves,vsem
država,držav
primer,primer
marec,marca
povsem,povsem
seveda,seveda
sploh,sploh
malo,malo
veljati,velja
vse,vse
pot,poti
zgolj,zgolj
da,Da
deset,deset
začetek,začetku
prav,Prav
pandemija,pandemije
hitro,hitro
svoj,svojih
eden,eden
ukrep,ukrepi
dodati,dodal
petek,petek
morati,morajo
svoj,svoj
zadnji,zadnjem
skupina,skupine
največ,največ
približno,približno
morda,morda
milijon,milijona
sobota,soboto
nedelja,nedeljo
drug,drugo
prvi,prvem
stranka,stranke
pot,pot
mesto,mesta
šele,šele
pred,Pred
trije,treh
imeti,imela
veè,veè
sezona,sezone
razmera,razmere
čeprav,čeprav
svet,sveta
zaposlen,zaposlenih
država,država
imeti,imamo
oblast,oblasti
ponedeljek,ponedeljek
življenje,življenja
predsednik,predsednika
vprašanje,vprašanje
policist,policisti
tekma,tekmi
on,njih
začeti,začeli
čez,čez
maj,maja
posebej,posebej
en,en
pomemben,pomembno
podatek,podatkih
ves,Vse
en,enega
že,Že
biti,ste
toliko,toliko
dom,doma
drug,drugega
naš,naše
umreti,umrlo
šest,šest
poleg,poleg
biti,bosta
nikoli,nikoli
kateri,katere
možnost,možnosti
odločitev,odločitev
sezona,sezoni
čim,čim
junij,junija
kateri,katero
morati,moral
covid,covida
biti,bom
težava,težave
nič,nič
včeraj,včeraj
iz,Iz
prvič,prvič
biti,Je
uspeti,uspelo
velik,veliko
možnost,možnost
volja,voljo
pojasniti,pojasnil
kazati,kaže
nekateri,nekaterih
slovenski,slovenskih
sreda,sredo
prvi,prvo
prek,prek
svoj,svojega
biti,boste
svet,svet
najprej,najprej
zmaga,zmago
liga,lige
poudariti,poudaril
območje,območju
koronavirus,koronavirus
poleg,Poleg
čeprav,Čeprav
kateri,katerega
težava,težav
morati,moramo
covid,covidom
nekoliko,nekoliko
začeti,začela
želeti,želi
tekma,tekme
pol,pol
danes,Danes
tisti,tisti
ti,vam
dom,domu
do,Do
takoj,takoj
začeti,začel
o,O
različen,različnih
odstotek,odstotka
iti,Gre
slovenski,slovenske
torek,torek
povedati,povedala
močno,močno
želeti,želijo
biti,nisem
šola,šole
raven,ravni
kako,Kako
hkrati,hkrati
virus,virusa
tekma,tekmo
dobiti,dobili
on,njim
ves,ves
zakon,zakona
kdo,kdo
ura,urah
dejavnost,dejavnosti
točka,točk
mesec,mesecih
prihodnji,prihodnje
ura,uri
meter,metrov
leten,letni
ura,ure
njegov,njegovih
njegov,njegov
obdobje,obdobju
sistem,sistem
najmanj,najmanj
okvir,okviru
stvar,stvari
stanje,stanje
velik,velik
tokrat,tokrat
zdaj,Zdaj
dobiti,dobil
okužba,okužbo
sam,sam
zadnji,zadnji
drug,drugem
širjenje,širjenja
ti,vas
področje,področju
njegov,njegovo
nekateri,nekateri
svoj,svoji
družba,družbe
dober,dobro
verjetno,verjetno
skozi,skozi
oprema,opreme
sam,sami
vlada,Vlada
kasno,kasneje
kateri,katerimi
priti,prišlo
prvi,prvih
kilometer,kilometrov
sodišče,sodišče
jasen,jasno
pogosto,pogosto
oseba,oseb
prvi,prve
ministrstvo,ministrstva
glede,Glede
številen,številne
januar,januarja
direktor,direktor
potekati,poteka
en,enem
poročati,poroča
september,septembra
iti,šlo
del,delu
sredstvo,sredstev
zgoditi,zgodilo
imeti,nima
nov,nov
kaj,Kaj
tisoč,tisoč
javen,javno
kljub,Kljub
sedaj,sedaj
ministrstvo,ministrstvu
policija,policija
april,aprila
covid,covid
ura,uro
nekateri,nekatere
meja,meje
svoj,svojem
ostajati,ostaja
dejati,dejala
sedem,sedem
zapisati,zapisali
smrt,smrti
virus,virus
biti,nismo
podlaga,podlagi
žrtev,žrtev
prvi,prva
mnenje,mnenju
morati,morala
december,decembra
kmalu,kmalu
dolgo,dolgo
četrtek,četrtek
ravno,ravno
priti,prišel
sezona,sezono
ves,Vsi
kazati,kažejo
njegov,njegova
ponovno,ponovno
vsak,vsako
imeti,nimajo
pomoč,pomoči
praviti,pravijo
država,državah
moči,more
država,državo
naš,naših
mesec,mesec
dobro,bolje
razvoj,razvoj
oktober,oktobra
spleten,spletni
kdaj,kdaj
julij,julija
osem,osem
velik,velika
on,njem
tisti,tiste
prostor,prostor
agencija,agencija
predlog,predlog
kateri,katerim
število,števila
javen,javnih
podpora,podporo
avgust,avgusta
sto,sto
otrok,otroci
opraviti,opravili
A,A
liga,ligi
javnost,javnosti
podjetje,podjetje
postati,postal
potem,Potem
deti,denimo
slovenski,Slovenski
javnost,javnost
toda,Toda
zdeti,zdi
enkrat,enkrat
priti,prišli
drugače,drugače
ministrstvo,ministrstvo
otrok,otroke
opozarjati,opozarjajo
nihče,nihče
on,njej
dan,dnevu
domov,domov
prvi,prvega
zakaj,zakaj
sprememba,spremembe
denar,denarja
en,eni
jutri,jutri
izmed,izmed
sklad,skladu
dober,najboljši
najti,našli
sredi,sredi
čakati,čaka
teden,tednih
svoj,svojim
priložnost,priložnost
pač,pač
slovenski,slovenskega
preveč,preveč
nazaj,nazaj
seja,seji
biti,Ni
gibanje,gibanja
večina,večina
začetek,začetka
prebivalec,prebivalcev
bolnišnica,bolnišnici
prvak,prvakov
voditi,vodi
star,starejših
podatek,podatkov
sporočiti,sporočil
težko,težko
izjemno,izjemno
zlasti,zlasti
varnost,varnost
policija,policije
njihov,njihovo
tisti,tistih
temveč,temveč
minuta,minut
november,novembra
ekipa,ekipe
javen,javnega
težek,težko
zdravstven,zdravstvene
doseči,dosegel
cilj,cilj
star,starejše
okolje,okolje
vloga,vlogo
februar,februarja
daljava,daljavo
sporočiti,sporočila
trg,trgu
zabeležiti,zabeležili
naš,naši
dva,dvema
zapisati,zapisal
ura,ur
njegov,njegovi
maska,maske
pojasniti,pojasnili
skupno,skupno
nov,novem
zveza,zvezi
opozoriti,opozoril
tretji,tretji
napovedati,napovedal
predstavljati,predstavlja
oba,obeh
njegov,njegove
svetoven,svetovni
družina,družine
uporaba,uporabo
zvečer,zvečer
štirje,štirih
oseba,osebe
nov,nova
premier,premier
skupina,skupini
kar,Kar
nadzor,nadzor
ves,vsa
vseeno,vseeno
njegov,njegovem
seveda,Seveda
zveza,zveze
velik,velike
številen,številnih
predsednik,Predsednik
biti,sva
zjutraj,zjutraj
zadeva,zadeve
trenutek,trenutku
delovati,deluje
omejitev,omejitev
kar,čemer
dobiti,dobila
sam,sama
zdravstven,zdravstvenih
organizacija,organizacije
večkrat,večkrat
državen,državni
prvenstvo,prvenstva
drug,druga
vendar,Vendar
višina,višini
potreben,potrebno
bolnišnica,bolnišnice
sistem,sistema
videti,videti
drug,drugimi
družba,družbi
razmera,razmer
promet,promet
meniti,meni
ta,ti
igra,igre
skupina,skupina
točka,točke
podatek,podatke
sredstvo,sredstva
