Morph-lemma,Morph-inflection
de,de
het,het
een,een
van,van
en,en
in,in
zijn,is
dat,dat
op,op
te,te
zijn,zijn
met,met
voor,voor
niet,niet
die,die
de,De
om,om
ook,ook
er,er
aan,aan
je,je
maar,maar
het,Het
als,als
nog,nog
dan,dan
bij,bij
ze,ze
hebben,heeft
naar,naar
ik,ik
uit,uit
zijn,was
door,door
al,al
veel,meer
wel,wel
over,over
of,of
hebben,hebben
hij,hij
worden,worden
wat,wat
jaar,jaar
dat,Dat
we,we
ik,Ik
worden,wordt
kunnen,kan
geen,geen
dit,dit
in,In
kunnen,kunnen
tot,tot
nu,nu
zo,zo
deze,deze
zich,zich
veel,veel
maar,Maar
mens,mensen
hun,hun
en,En
gaan,gaat
moeten,moet
worden,werd
zullen,zou
een,Een
weer,weer
gaan,gaan
tegen,tegen
na,na
haar,haar
ander,andere
goed,goed
daar,daar
waar,waar
moeten,moeten
dus,dus
nieuw,nieuwe
hebben,had
twee,twee
onder,onder
als,Als
zullen,zal
toch,toch
maken,maken
doen,doen
één,eerste
zeggen,zegt
hebben,heb
ook,Ook
heel,heel
hij,Hij
willen,wil
alleen,alleen
mijn,mijn
er,Er
komen,komt
we,We
komen,komen
mee,mee
hoe,hoe
tijd,tijd
al,alle
ze,Ze
eens,eens
omdat,omdat
zien,zien
op,Op
die,Die
groot,grote
hier,hier
ons,ons
iets,iets
zelf,zelf
hem,hem
af,af
dit,Dit
je,Je
altijd,altijd
gewoon,gewoon
procent,procent
land,land
staan,staat
echt,echt
zijn,waren
zoals,zoals
eigen,eigen
tussen,tussen
ons,onze
keer,keer
mij,mij
zijn,ben
weinig,minder
krijgen,krijgen
steeds,steeds
euro,euro
toen,toen
laten,laten
willen,willen
week,week
wat,Wat
volgens,volgens
met,Met
per,per
dag,dag
jaar,jaren
tijdens,tijdens
man,man
want,want
voor,Voor
politie,politie
me,me
laat,laatste
volgens,Volgens
staan,staan
drie,drie
zitten,zit
leven,leven
terug,terug
net,net
toe,toe
alles,alles
mogelijk,mogelijk
komen,kwam
zo,Zo
uur,uur
weten,weten
even,even
één,één
weg,weg
geld,geld
nooit,nooit
bij,Bij
aantal,aantal
Russisch,Russische
zonder,zonder
binnen,binnen
nodig,nodig
aflopen,afgelopen
vooral,vooral
auto,auto
weten,weet
elkaar,elkaar
goed,beter
heel,hele
blijven,blijven
snel,snel
zullen,zullen
zelfs,zelfs
worden,werden
helemaal,helemaal
mogen,mag
eerder,eerder
allemaal,allemaal
zij,zij
ver,verder
zeggen,zeggen
doen,doet
Nederlands,Nederlandse
kind,kinderen
vaak,vaak
lang,lang
zitten,zitten
plaats,plaats
u,u
maken,maakt
niets,niets
gaan,ging
zeker,zeker
via,via
kunnen,kon
onderzoek,onderzoek
houden,houden
rond,rond
lijken,lijkt
blijven,blijft
moment,moment
miljoen,miljoen
iedereen,iedereen
vinden,vinden
deze,Deze
groot,groot
twee,tweede
wereld,wereld
zullen,zouden
bijna,bijna
achter,achter
bijvoorbeeld,bijvoorbeeld
zeggen,zei
geleden,geleden
na,Na
laten,laat
dan,Dan
samen,samen
natuurlijk,natuurlijk
kunnen,kunt
sinds,sinds
maken,gemaakt
hebben,hadden
huis,huis
vrouw,vrouw
enkel,enkele
dag,dagen
geven,geven
daar,Daar
goed,goede
paar,paar
krijgen,krijgt
erg,erg
één,een
iemand,iemand
wij,wij
kunnen,kun
werk,werk
bekend,bekend
deel,deel
oorlog,oorlog
bedrijf,bedrijf
weinig,weinig
extra,extra
vanaf,vanaf
hebben,hebt
aldus,aldus
wie,wie
krijgen,kreeg
vier,vier
Amerikaans,Amerikaanse
maand,maanden
duidelijk,duidelijk
eigenlijk,eigenlijk
beetje,beetje
hoe,Hoe
laat,later
zijn,geweest
genoeg,genoeg
verschillend,verschillende
moeten,moest
terwijl,terwijl
vraag,vraag
gemeente,gemeente
land,landen
kijken,kijken
zien,ziet
of,Of
liggen,ligt
geval,geval
doen,gedaan
soort,soort
denken,denk
nemen,nemen
anders,anders
vinden,vind
nu,Nu
week,weken
vandaag,vandaag
manier,manier
blijken,blijkt
hen,hen
werken,werken
enig,enige
kans,kans
echter,echter
waarin,waarin
vorig,vorig
mogen,mogen
stad,stad
maand,maand
geven,geeft
groot,grootste
zien,gezien
vijf,vijf
vinden,vindt
probleem,probleem
elk,elke
vrouw,vrouwen
te,ten
opnieuw,opnieuw
seizoen,seizoen
misschien,misschien
vanuit,vanuit
buiten,buiten
goed,beste
namelijk,namelijk
vanwege,vanwege
staan,stond
niet,Niet
maken,maakte
probleem,problemen
om,Om
graag,graag
zijn,bent
ooit,ooit
bedrijf,bedrijven
pas,pas
te,ter
meteen,meteen
door,Door
overheid,overheid
denken,denken
juist,juist
betalen,betalen
minister,minister
zeer,zeer
dus,Dus
werken,werkt
