Morph-lemma,Morph-inflection
de,de
el,la
que,que
en,en
el,el
y,y
a,a
el,los
él,se
del,del
uno,un
con,con
el,las
por,por
para,para
uno,una
su,su
no,no
ser,es
al,al
el,El
él,lo
más,más
el,La
como,como
haber,ha
En,En
este,este
su,sus
ser,fue
o,o
pero,pero
año,años
este,esta
también,también
ya,ya
estar,está
él,le
desde,desde
sobre,sobre
entre,entre
haber,han
el,Los
dos,dos
ser,son
ser,ser
todo,todo
mucho,muy
parte,parte
hasta,hasta
Por,Por
año,año
tener,tiene
persona,personas
sin,sin
si,si
cuando,cuando
haber,hay
donde,donde
decir,dijo
porque,porque
país,país
todo,todos
durante,durante
poder,puede
contra,contra
no,No
Y,Y
estar,están
el,Las
vez,vez
A,A
ese,ese
ser,sido
uno,uno
De,De
yo,nos
momento,momento
él,Se
solo,solo
día,día
tiempo,tiempo
yo,me
hacer,hace
tres,tres
e,e
así,así
millón,millones
después,después
día,días
ser,Es
hacer,hacer
cada,cada
vida,vida
otro,otros
lugar,lugar
presidente,presidente
tras,tras
ese,eso
haber,había
además,Además
primero,primera
ante,ante
quien,quien
mismo,mismo
tanto,tanto
caso,caso
gran,gran
bien,bien
ahora,ahora
pasado,pasado
ser,era
ser,fueron
menos,menos
Pero,Pero
otro,otro
primero,primer
trabajo,trabajo
antes,antes
mundo,mundo
este,estos
ese,esa
hora,horas
equipo,equipo
mucho,mucho
tener,tener
mejor,mejor
según,según
ser,será
nuevo,nuevo
manera,manera
forma,forma
Para,Para
embargo,embargo
ciudad,ciudad
semana,semana
tener,tienen
qué,qué
partido,partido
mientras,mientras
mayor,mayor
Sin,Sin
hoy,hoy
través,través
acuerdo,acuerdo
Con,Con
Si,Si
este,esto
uno,Un
situación,situación
él,les
ir,va
este,Este
poder,pueden
además,además
uno,Una
mi,mi
siempre,siempre
poder,poder
ni,ni
importante,importante
luego,luego
otro,otras
él,ellos
ver,ver
él,la
nuevo,nueva
también,También
mes,meses
aunque,aunque
estar,estaba
todo,todas
algo,algo
final,final
tú,te
Según,Según
estar,estar
él,Lo
alguno,algunos
Al,Al
este,estas
poco,poco
él,él
cuatro,cuatro
mucho,muchos
uno,unos
último,último
medio,medio
hecho,hecho
cuenta,cuenta
seguridad,seguridad
gente,gente
mil,mil
nivel,nivel
hacer,hizo
casa,casa
tipo,tipo
cómo,cómo
este,Esta
caso,casos
deber,debe
ser,sea
social,sociales
fin,fin
proyecto,proyecto
autoridad,autoridades
otro,otra
todo,toda
mes,mes
cual,cual
zona,zona
sino,sino
sector,sector
frente,frente
grupo,grupo
poder,podría
quien,quienes
así,Así
total,total
él,ello
viernes,viernes
red,redes
persona,persona
información,información
salud,salud
proceso,proceso
nuestro,nuestro
haber,haber
familia,familia
historia,historia
nada,nada
hacia,hacia
último,últimos
junto,junto
casi,casi
nuestro,nuestra
decir,decir
dar,dar
lunes,lunes
empresa,empresa
estado,estado
mujer,mujeres
nacional,nacional
tu,tu
Desde,Desde
tratar,trata
país,países
aún,aún
mujer,mujer
dentro,dentro
posible,posible
varios,varios
cinco,cinco
cualquiera,cualquier
tener,tuvo
general,general
domingo,domingo
cosa,cosas
público,público
punto,puntos
segundo,segundo
mañana,mañana
dar,dio
gobierno,gobierno
número,número
él,ella
dato,datos
lado,lado
bajo,bajo
tener,tenía
jueves,jueves
pandemia,pandemia
empresa,empresas
hombre,hombre
tener,tenemos
cambio,cambio
programa,programa
tanto,tan
personal,personal
sistema,sistema
estar,estamos
objetivo,objetivo
martes,martes
mismo,misma
noche,noche
este,Esto
sábado,sábado
señalar,señaló
respecto,respecto
sí,sí
mucho,muchas
próximo,próximo
sentido,sentido
centro,centro
informar,informó
seguir,seguir
grande,grandes
llegar,llegar
temporada,temporada
segundo,segunda
agua,agua
tarde,tarde
apoyo,apoyo
miércoles,miércoles
incluso,incluso
cerca,cerca
social,social
niño,niños
servicio,servicio
decir,dice
punto,punto
partir,partir
diferente,diferentes
haber,Hay
pues,pues
joven,joven
Como,Como
contar,cuenta
hora,hora
población,población
su,Su
relación,relación
ser,siendo
problema,problemas
mercado,mercado
alguno,algunas
entonces,entonces
decisión,decisión
atención,atención
investigación,investigación
mayoría,mayoría
conocer,conocer
nunca,nunca
servicio,servicios
juego,juego
guerra,guerra
seguir,sigue
vez,veces
indicar,indicó
debido,debido
minuto,minutos
último,última
enero,enero
tema,tema
precio,precios
haber,hemos
asimismo,Asimismo
encontrar,encuentra
asegurar,aseguró
edad,edad
ejemplo,ejemplo
yo,yo
nuevo,nuevos
fecha,fecha
región,región
largo,largo
