Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
на,на,0,0,81027
у,у,1,1,71415
в,в,2,2,70177
і,і,4,3,57062
з,з,5,4,56314
що,що,3,5,56080
та,та,6,6,49658
не,не,7,7,44932
до,до,9,8,35174
за,за,12,9,31579
це,це,11,10,25602
про,про,14,11,21861
для,для,16,12,20015
а,а,20,13,16993
як,як,22,14,16562
від,від,23,15,15850
він,він,13,16,15126
також,також,27,17,12880
який,які,10,18,12597
ми,ми,21,19,11625
але,але,29,20,11579
вони,вони,15,21,10288
із,із,36,22,9490
під,під,38,23,9391
по,по,39,24,9383
щоб,щоб,41,25,8998
бути,є,8,26,8928
бути,буде,8,27,8818
вже,вже,45,28,8322
зараз,зараз,46,29,8255
час,час,30,30,8008
після,після,50,31,7897
ще,ще,51,32,7820
й,й,52,33,7592
я,я,31,34,7427
через,через,53,35,7363
рок,року,54,36,6962
рф,рф,55,37,6953
так,так,56,38,6913
якщо,якщо,59,39,6742
тому,тому,61,40,6591
ви,ви,34,41,6484
бути,було,8,42,6476
який,який,10,43,6450
могти,може,25,44,6402
область,області,43,45,6251
вона,вона,28,46,5925
той,того,17,47,5923
коли,коли,68,48,5880
все,все,64,49,5770
його,його,70,50,5582
або,або,72,51,5490
чи,чи,74,52,5390
можний,можна,77,53,5306
дуже,дуже,79,54,5217
війна,війни,33,55,5151
слово,словами,63,56,4963
окупант,окупанти,37,57,4855
російський,російські,18,58,4797
людина,людей,48,59,4790
він,його,13,60,4783
той,те,17,61,4777
проти,проти,84,62,4730
вони,їх,15,63,4590
який,яка,10,64,4356
зі,зі,95,65,4201
сьогодні,сьогодні,96,66,4198
мати,має,32,67,4134
могти,можуть,25,68,4117
щодо,щодо,99,69,4079
сказати,сказав,67,70,3988
бути,бути,8,71,3963
російський,російських,18,72,3938
де,де,105,73,3934
раніше,раніше,106,74,3916
навіть,навіть,112,75,3815
бути,був,8,76,3806
вони,них,15,77,3796
лише,лише,114,78,3760
там,там,115,79,3750
територія,території,60,80,3727
заявити,заявив,80,81,3711
нагадати,нагадаємо,91,82,3676
бути,були,8,83,3667
більше,більше,82,84,3609
це,цього,11,85,3606
рік,років,49,86,3549
цей,цей,19,87,3535
йтися,йдеться,117,88,3512
то,то,125,89,3480
багато,багато,93,90,3415
день,день,47,91,3402
зазначити,зазначив,73,92,3401
країна,країни,44,93,3387
вона,її,28,94,3358
без,без,135,95,3308
президент,президент,65,96,3194
зокрема,зокрема,139,97,3178
ми,нас,21,98,3154
понад,понад,143,99,3081
окупант,окупантів,37,100,3038
саме,саме,149,101,3037
новина,новину,122,102,3005
оборона,оборони,119,103,2967
читати,читаєте,126,104,2963
хто,хто,111,105,2962
ж,ж,155,106,2962
бути,будуть,8,107,2876
потрібно,потрібно,159,108,2830
життя,життя,121,109,2822
один,один,85,110,2815
сила,сил,62,111,2800
росіянин,росіяни,75,112,2793
її,її,162,113,2784
фото,фото,163,114,2781
всі,всі,71,115,2759
немає,немає,166,116,2752
при,при,168,117,2742
початок,початку,131,118,2740
який,яких,10,119,2730
місто,міста,58,120,2709
український,українських,26,121,2700
тільки,тільки,174,122,2694
український,українські,26,123,2640
цей,цього,19,124,2617
повідомлення,повідомленні,129,125,2565
розповісти,розповів,97,126,2559
цей,ці,19,127,2542
люда,люди,186,128,2505
просто,просто,187,129,2496
кілька,кілька,152,130,2470
близько,близько,190,131,2460
напрямок,напрямку,104,132,2446
вторгнення,вторгнення,181,133,2409
була,була,194,134,2399
російський,російської,18,135,2394
мати,мають,32,136,2354
крім,крім,198,137,2344
разом,разом,199,138,2344
рішення,рішення,164,139,2312
українець,українців,86,140,2307
той,тим,17,141,2306
повідомити,повідомив,88,142,2298
свій,свою,24,143,2279
два,два,78,144,2272
серед,серед,207,145,2271
військовий,військових,35,146,2254
наразі,наразі,208,147,2253
себе,себе,107,148,2239
сила,сили,62,149,2232
військовий,військові,35,150,2193
президент,президента,65,151,2180
бо,бо,212,152,2175
свій,свої,24,153,2168
дія,дії,83,154,2165
потім,потім,213,155,2164
всі,всіх,71,156,2159
додати,додав,108,157,2150
майже,майже,214,158,2144
свій,своїх,24,159,2126
інший,інших,57,160,2119
війна,війну,33,161,2118
наголосити,наголосив,171,162,2115
тисяча,тисяч,138,163,2086
над,над,221,164,2085
ворог,ворог,98,165,2064
треба,треба,223,166,2062
поки,поки,225,167,2050
тут,тут,231,168,2015
дитина,дітей,81,169,2013
тоді,тоді,232,170,1997
лютий,лютого,206,171,1972
три,три,150,172,1971
який,яку,10,173,1962
це,цьому,11,174,1953
особа,осіб,157,175,1945
військо,військ,92,176,1941
однак,однак,241,177,1937
кількість,кількість,176,178,1923
безпека,безпеки,180,179,1923
проте,проте,245,180,1903
дані,даними,154,181,1876
військо,війська,92,182,1873
вони,їм,15,183,1873
дія,дій,83,184,1868
рік,році,49,185,1867
ніж,ніж,239,186,1860
б,б,254,187,1834
міністр,міністр,141,188,1820
ми,нам,21,189,1791
наш,наші,42,190,1784
варта,варто,233,191,1761
питання,питання,169,192,1756
я,мене,31,193,1753
росіянин,росіян,75,194,1746
між,між,270,195,1745
відомо,відомо,273,196,1732
грн,грн,274,197,1725
той,тому,17,198,1718
війна,війна,33,199,1707
протягом,протягом,281,200,1698
адже,адже,282,201,1688
світ,світу,116,202,1685
внаслідок,внаслідок,285,203,1682
тепер,тепер,286,204,1675
голова,голова,128,205,1672
він,нього,13,206,1672
район,районі,87,207,1669
зробити,зробити,127,208,1669
перед,перед,288,209,1668
казати,каже,140,210,1666
російський,російського,18,211,1664
інший,інші,57,212,1661
він,йому,13,213,1625
допомога,допомоги,89,214,1623
такий,такі,40,215,1611
наш,наших,42,216,1602
держава,держави,142,217,1598
цей,цю,19,218,1591
допомога,допомогу,89,219,1574
країна,країн,44,220,1569
чоловік,чоловік,109,221,1560
день,дня,47,222,1553
цей,цих,19,223,1552
військовий,військової,35,224,1550
удар,ударів,102,225,1544
будь,будь,327,226,1513
ви,вас,34,227,1511
водночас,водночас,329,228,1503
жовтень,жовтня,261,229,1501
два,двох,78,230,1501
тимчасово,тимчасово,330,231,1501
знову,знову,333,232,1495
млн,млн,334,233,1493
день,днів,47,234,1489
цей,ця,19,235,1485
армія,армії,153,236,1478
вночі,вночі,338,237,1471
робота,роботу,100,238,1458
біля,біля,340,239,1454
російський,російський,18,240,1453
більше,більш,82,241,1429
місто,місті,58,242,1427
той,тих,17,243,1425
населений,населених,205,244,1423
ні,ні,348,245,1421
зброя,зброї,151,246,1415
відео,відео,356,247,1414
ви,вам,34,248,1414
завжди,завжди,357,249,1413
свій,свого,24,250,1404
населення,населення,300,251,1404
ракета,ракети,103,252,1400
оскільки,оскільки,365,253,1393
березень,березня,263,254,1391
техніка,техніки,196,255,1390
я,мені,31,256,1376
